0x1F32E	:taco:
0x1F32F	:burrito:
0x1F959	:stuffed flatbread:
0x1F9C6	:⊛ falafel:
0x1F95A	:egg:
0x1F373	:cooking:
0x1F958	:shallow pan of food:
0x1F372	:pot of food:
0x1F963	:bowl with spoon:
0x1F957	:green salad:
0x1F37F	:popcorn:
0x1F9C8	:⊛ butter:
0x1F9C2	:salt:
0x1F96B	:canned food:
0x1F371	:bento box:
0x1F358	:rice cracker:
0x1F359	:rice ball:
0x1F35A	:cooked rice:
0x1F35B	:curry rice:
0x1F35C	:steaming bowl:
0x1F35D	:spaghetti:
0x1F360	:roasted sweet potato:
0x1F362	:oden:
0x1F363	:sushi:
0x1F364	:fried shrimp:
0x1F365	:fish cake with swirl:
0x1F96E	:moon cake:
0x1F361	:dango:
0x1F95F	:dumpling:
0x1F960	:fortune cookie:
0x1F961	:takeout box:
0x1F980	:crab:
0x1F99E	:lobster:
0x1F990	:shrimp:
0x1F991	:squid:
0x1F9AA	:⊛ oyster:
0x1F366	:soft ice cream:
0x1F367	:shaved ice:
0x1F368	:ice cream:
0x1F369	:doughnut:
0x1F36A	:cookie:
0x1F382	:birthday cake:
0x1F370	:shortcake:
0x1F9C1	:cupcake:
0x1F967	:pie:
0x1F36B	:chocolate bar:
0x1F36C	:candy:
0x1F36D	:lollipop:
0x1F36E	:custard:
0x1F36F	:honey pot:
0x1F37C	:baby bottle:
0x1F95B	:glass of milk:
0x2615	:hot beverage:
0x1F375	:teacup without handle:
0x1F376	:sake:
0x1F37E	:bottle with popping cork:
0x1F377	:wine glass:
0x1F378	:cocktail glass:
0x1F379	:tropical drink:
0x1F37A	:beer mug:
0x1F37B	:clinking beer mugs:
0x1F942	:clinking glasses:
0x1F943	:tumbler glass:
0x1F964	:cup with straw:
0x1F9C3	:⊛ beverage box:
0x1F9C9	:⊛ mate:
0x1F9CA	:⊛ ice:
0x1F962	:chopsticks:
0x1F37D	:fork and knife with plate:
0x1F374	:fork and knife:
0x1F944	:spoon:
0x1F52A	:kitchen knife:
0x1F3FA	:amphora:
